,country,article_name,revision_id,article_quality,population
0,Chad,Bir I of Kanem,355319463,Stub,15400000.0
1,Chad,Abdullah II of Kanem,498683267,Stub,15400000.0
2,Chad,Salmama II of Kanem,565745353,Stub,15400000.0
3,Chad,Kuri I of Kanem,565745365,Stub,15400000.0
4,Chad,Mohammed I of Kanem,565745375,Stub,15400000.0
5,Chad,Kuri II of Kanem,669719757,Stub,15400000.0
6,Chad,Bir II of Kanem,670893206,Stub,15400000.0
7,Chad,Mahamat Hissene,693055898,Stub,15400000.0
8,Chad,Othman I,705432607,Stub,15400000.0
9,Chad,Alphonse Kotiga,707593108,Stub,15400000.0
10,Chad,Oueddei Kichidemi,708346649,Start,15400000.0
11,Chad,Dunama I,710675092,Stub,15400000.0
12,Chad,Ahmad (Kanem-Bornu king),711388267,Stub,15400000.0
13,Chad,Djibrine Kerallah,712971263,Stub,15400000.0
14,Chad,Maurice Ngangtar,712971315,Stub,15400000.0
15,Chad,Idriss Miskine,712971738,Stub,15400000.0
16,Chad,Laoukein Kourayo Médard,716886170,Stub,15400000.0
17,Chad,Nadji Madou,716886788,Stub,15400000.0
18,Chad,Noël Milarew Odingar,716891799,Start,15400000.0
19,Chad,Yaya Dillo Djérou,717733209,Stub,15400000.0
20,Chad,Acheikh Ibn-Oumar,719821590,Start,15400000.0
21,Chad,Quatre Sou Quatre,720066754,Stub,15400000.0
22,Chad,Ali Gazi,722563340,Stub,15400000.0
23,Chad,Mahamat Djarma Khatir,725132042,Stub,15400000.0
24,Chad,Dunama IX Lefiami,731749611,Stub,15400000.0
25,Chad,Dawud of Kanem,736550266,Stub,15400000.0
26,Chad,Ahmed Koulamallah,738855197,Start,15400000.0
27,Chad,Abbo Nassour,741369486,B,15400000.0
28,Chad,Abdel Kader Baba-Laddé,742213176,Stub,15400000.0
29,Chad,Hummay,747271475,Stub,15400000.0
30,Chad,Ngarlejy Yorongar,751304544,C,15400000.0
31,Chad,Saleh Kezabo,751380073,Stub,15400000.0
32,Chad,Bourkou Louise Kabo,757072468,Start,15400000.0
33,Chad,Brahim Koulamallah,757802238,Stub,15400000.0
34,Chad,Saadie Goukouni Weddeye,757842614,Start,15400000.0
35,Chad,Mahamoud Adam Béchir,762579466,Start,15400000.0
36,Chad,Kalthouma Nguembang,762816132,Stub,15400000.0
37,Chad,Djidingar Dono Ngardoum,764133533,Stub,15400000.0
38,Chad,Template:ChadPMs,768123377,Stub,15400000.0
39,Chad,Template:ChadPres,770535091,Stub,15400000.0
40,Chad,Youssouf Saleh Abbas,771052289,B,15400000.0
41,Chad,Koibla Djimasta,774223245,Start,15400000.0
42,Chad,Nassour Guelendouksia Ouaido,774223248,C,15400000.0
43,Chad,Joseph Brahim Seid,777478442,Stub,15400000.0
44,Chad,Joseph Yodoyman,777550078,Start,15400000.0
45,Chad,Antoine Bangui,782638002,Start,15400000.0
46,Chad,Ibrahim IV of Bornu,785614014,Stub,15400000.0
47,Chad,Hadjé Halimé,786449636,C,15400000.0
48,Chad,Youssouf Togoïmi,787390241,Start,15400000.0
49,Chad,Adoum Younousmi,787719236,Start,15400000.0
50,Chad,François Tombalbaye,787738541,C,15400000.0
51,Chad,Ahmat Hassaballah Soubiane,787910771,Stub,15400000.0
52,Chad,Ahmad Allam-Mi,787921293,Start,15400000.0
53,Chad,Laotegguelnodji Koumtog,788009613,Stub,15400000.0
54,Chad,Mahamat Ali Adoum,788014671,Start,15400000.0
55,Chad,Mahamat Saleh Annadif,788658822,C,15400000.0
56,Chad,Mohamed Bechir-Sow,788827248,Stub,15400000.0
57,Chad,Gontchomé Sahoulba,788828388,Start,15400000.0
58,Chad,Gabriel Lisette,788828519,Start,15400000.0
59,Chad,Ali II of Bornu,788999424,Stub,15400000.0
60,Chad,Arabi El Goni,789126126,Stub,15400000.0
61,Chad,Dunama Dabbalemi,789935196,Start,15400000.0
62,Chad,Idris Alooma,792734868,Start,15400000.0
63,Chad,Mahamat Nouri,792954115,FA,15400000.0
64,Chad,Idriss Ndele Moussa,796654025,Stub,15400000.0
65,Chad,Mbaydoum Simeon,796690873,Stub,15400000.0
66,Chad,Ngarindo Milengar,796700718,Stub,15400000.0
67,Chad,List of Prime Ministers of Chad,797747674,Start,15400000.0
68,Chad,Idriss Déby,798286150,C,15400000.0
69,Chad,Saleh Kebzabo,798626040,C,15400000.0
70,Chad,Moussa Faki,799043301,C,15400000.0
71,Chad,Template:Chad-politician-stub,799373925,Stub,15400000.0
72,Chad,Kalzeubet Pahimi Deubet,799413193,Start,15400000.0
73,Chad,Haroun Kabadi,799447895,Start,15400000.0
